soc_start,title_start,soc_end,title_end,risk_start,risk_end,salarymax_start,salarymax_end,dist_all_alt,rank
11-1011.00,Chief Executives,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,0.05175,0.10303,114942,46161,0.038845542,1
11-1011.00,Chief Executives,11-3031.02,"Financial Managers, Branch or Department",0.05175,0.202787,114942,84119,0.041331494,2
11-1011.00,Chief Executives,11-2021.00,Marketing Managers,0.05175,0.0852182,114942,70159,0.041856633,3
11-1011.00,Chief Executives,11-2022.00,Sales Managers,0.05175,0.0785883,114942,90557,0.045079858,4
11-1011.00,Chief Executives,11-9199.04,Supply Chain Managers,0.05175,0.121314,114942,60297,0.046387952,5
11-1011.00,Chief Executives,27-2012.03,Program Directors,0.05175,0.0530083,114942,45063,0.046764248,6
11-1011.00,Chief Executives,11-9033.00,"Education Administrators, Postsecondary",0.05175,0.0553569,114942,84854,0.047499561,7
11-1011.00,Chief Executives,13-1075.00,Labor Relations Specialists,0.05175,0.25,114942,,0.048187352,8
11-1011.00,Chief Executives,13-1081.00,Logisticians,0.05175,0.45,114942,50461,0.048844251,9
11-1011.00,Chief Executives,11-3071.01,Transportation Managers,0.05175,0.0916974,114942,71855,0.048914025,10
11-1011.00,Chief Executives,11-3121.00,Human Resources Managers,0.05175,0.0600832,114942,82895,0.049203202,11
11-1011.00,Chief Executives,11-1021.00,General and Operations Managers,0.05175,0.19469,114942,114942,0.049214001,12
11-1011.00,Chief Executives,11-9111.00,Medical and Health Services Managers,0.05175,0.16015,114942,85647,0.049364532,13
11-1011.00,Chief Executives,11-3061.00,Purchasing Managers,0.05175,0.159306,114942,84921,0.049397627,14
11-1011.00,Chief Executives,11-3011.00,Administrative Services Managers,0.05175,0.206362,114942,72301,0.049424716,15
11-1011.00,Chief Executives,11-2031.00,Public Relations and Fundraising Managers,0.05175,0.0526277,114942,70159,0.050636347,16
11-1011.00,Chief Executives,11-9071.00,Gaming Managers,0.05175,0.171294,114942,45339,0.051041794,17
11-1011.00,Chief Executives,11-9141.00,"Property, Real Estate, and Community Association Managers",0.05175,0.180724,114942,82967,0.051324364,18
11-1011.00,Chief Executives,11-1031.00,Legislators,0.05175,0.580697,114942,,0.051719273,19
11-1011.00,Chief Executives,15-1199.09,Information Technology Project Managers,0.05175,0.0950417,114942,99566,0.052050516,20
11-1011.03,Chief Sustainability Officers,11-9199.10,Wind Energy Project Managers,0.0608116,0.161655,,,0.039781865,1
11-1011.03,Chief Sustainability Officers,13-1199.05,Sustainability Specialists,0.0608116,0.141951,,,0.040806917,2
11-1011.03,Chief Sustainability Officers,11-2021.00,Marketing Managers,0.0608116,0.0852182,,70159,0.046311773,3
11-1011.03,Chief Sustainability Officers,11-2011.01,Green Marketers,0.0608116,0.303265,,,0.046770751,4
11-1011.03,Chief Sustainability Officers,15-1199.09,Information Technology Project Managers,0.0608116,0.0950417,,99566,0.046795846,5
11-1011.03,Chief Sustainability Officers,11-9039.01,Distance Learning Coordinators,0.0608116,0.25,,,0.050723972,6
11-1011.03,Chief Sustainability Officers,13-1199.04,Business Continuity Planners,0.0608116,0.0534276,,54937,0.050798739,7
11-1011.03,Chief Sustainability Officers,11-1011.00,Chief Executives,0.0608116,0.05175,,114942,0.055484602,8
11-1011.03,Chief Sustainability Officers,13-1131.00,Fundraisers,0.0608116,0.25,,,0.057533389,9
11-1011.03,Chief Sustainability Officers,13-1111.00,Management Analysts,0.0608116,0.0527644,,64394,0.058826762,10
11-1011.03,Chief Sustainability Officers,27-2012.03,Program Directors,0.0608116,0.0530083,,45063,0.058846201,11
11-1011.03,Chief Sustainability Officers,11-2022.00,Sales Managers,0.0608116,0.0785883,,90557,0.058857708,12
11-1011.03,Chief Sustainability Officers,41-4011.07,Solar Sales Representatives and Assessors,0.0608116,0.407003,,69353,0.058947282,13
11-1011.03,Chief Sustainability Officers,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,0.0608116,0.10303,,46161,0.059190741,14
11-1011.03,Chief Sustainability Officers,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.0608116,0.575797,,69353,0.061055342,15
11-1011.03,Chief Sustainability Officers,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,0.0608116,0.179149,,,0.064380785,16
11-1011.03,Chief Sustainability Officers,11-9033.00,"Education Administrators, Postsecondary",0.0608116,0.0553569,,84854,0.065192486,17
11-1011.03,Chief Sustainability Officers,11-1021.00,General and Operations Managers,0.0608116,0.19469,,114942,0.065236299,18
11-1011.03,Chief Sustainability Officers,11-1031.00,Legislators,0.0608116,0.580697,,,0.065595668,19
11-1011.03,Chief Sustainability Officers,13-1081.00,Logisticians,0.0608116,0.45,,50461,0.065850577,20
11-1021.00,General and Operations Managers,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,0.19469,0.10303,114942,46161,0.034561087,1
11-1021.00,General and Operations Managers,11-9131.00,Postmasters and Mail Superintendents,0.19469,0.210306,114942,58501,0.038569149,2
11-1021.00,General and Operations Managers,11-3011.00,Administrative Services Managers,0.19469,0.206362,114942,72301,0.04042157,3
11-1021.00,General and Operations Managers,11-9081.00,Lodging Managers,0.19469,0.0761564,114942,34604,0.041044915,4
11-1021.00,General and Operations Managers,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,0.19469,0.302412,114942,58751,0.043796528,5
11-1021.00,General and Operations Managers,13-1121.00,"Meeting, Convention, and Event Planners",0.19469,0.0587309,114942,33659,0.045619717,6
11-1021.00,General and Operations Managers,11-9071.00,Gaming Managers,0.19469,0.171294,114942,45339,0.045644934,7
11-1021.00,General and Operations Managers,11-3071.02,Storage and Distribution Managers,0.19469,0.181386,114942,71855,0.045882843,8
11-1021.00,General and Operations Managers,11-9111.00,Medical and Health Services Managers,0.19469,0.16015,114942,85647,0.047272113,9
11-1021.00,General and Operations Managers,39-1021.01,Spa Managers,0.19469,0.0924789,114942,28715,0.048004285,10
11-1021.00,General and Operations Managers,11-1011.00,Chief Executives,0.19469,0.05175,114942,114942,0.049214001,11
11-1021.00,General and Operations Managers,11-3071.01,Transportation Managers,0.19469,0.0916974,114942,71855,0.050121105,12
11-1021.00,General and Operations Managers,11-3031.02,"Financial Managers, Branch or Department",0.19469,0.202787,114942,84119,0.050231353,13
11-1021.00,General and Operations Managers,11-3061.00,Purchasing Managers,0.19469,0.159306,114942,84921,0.050374216,14
11-1021.00,General and Operations Managers,39-1021.00,First-Line Supervisors of Personal Service Workers,0.19469,0.153109,114942,47257,0.05037783,15
11-1021.00,General and Operations Managers,41-1011.00,First-Line Supervisors of Retail Sales Workers,0.19469,0.385034,114942,29182,0.051432357,16
11-1021.00,General and Operations Managers,11-3051.00,Industrial Production Managers,0.19469,0.0832477,114942,74805,0.051513573,17
11-1021.00,General and Operations Managers,11-3111.00,Compensation and Benefits Managers,0.19469,0.36057,114942,82895,0.05159503,18
11-1021.00,General and Operations Managers,11-9141.00,"Property, Real Estate, and Community Association Managers",0.19469,0.180724,114942,82967,0.051719612,19
11-1021.00,General and Operations Managers,13-1081.00,Logisticians,0.19469,0.45,114942,50461,0.0517378,20
11-1031.00,Legislators,23-1023.00,"Judges, Magistrate Judges, and Magistrates",0.580697,0.0626703,,259550,0.024321968,1
11-1031.00,Legislators,11-3131.00,Training and Development Managers,0.580697,0.0591275,,82895,0.026775553,2
11-1031.00,Legislators,23-1022.00,"Arbitrators, Mediators, and Conciliators",0.580697,0.0675239,,259550,0.033383756,3
11-1031.00,Legislators,25-9031.01,Instructional Designers and Technologists,0.580697,0.0695109,,,0.038183396,4
11-1031.00,Legislators,23-1011.00,Lawyers,0.580697,0.25,,96865,0.04319637,5
11-1031.00,Legislators,11-9151.00,Social and Community Service Managers,0.580697,0.0520545,,57613,0.047323715,6
11-1031.00,Legislators,11-9033.00,"Education Administrators, Postsecondary",0.580697,0.0553569,,84854,0.047739357,7
11-1031.00,Legislators,27-3031.00,Public Relations Specialists,0.580697,0.05582,,46583,0.048035459,8
11-1031.00,Legislators,27-2012.02,"Directors- Stage, Motion Pictures, Television, and Radio",0.580697,0.0559118,,45063,0.049061235,9
11-1031.00,Legislators,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",0.580697,0.118641,,259550,0.049166696,10
11-1031.00,Legislators,11-1011.00,Chief Executives,0.580697,0.05175,,114942,0.051719273,11
11-1031.00,Legislators,11-2031.00,Public Relations and Fundraising Managers,0.580697,0.0526277,,70159,0.052712175,12
11-1031.00,Legislators,11-2021.00,Marketing Managers,0.580697,0.0852182,,70159,0.054591776,13
11-1031.00,Legislators,11-9039.02,Fitness and Wellness Coordinators,0.580697,0.0624816,,,0.055299824,14
